descricao;endereco;area;quartos;wc;vagas;valor;codominio;wlink
Apartamento com  Quarto à Venda, 34m²;Rua Coronel Herculano de Araújo, 197 - Novo Mundo, Curitiba - PR;34;1;1;1;R$ 225.000;R$ 350;https://www.vivareal.com.br//imovel/apartamento-1-quartos-novo-mundo-bairros-curitiba-com-garagem-34m2-venda-RS225000-id-2646718805/
Residencial Solenne;Rua Bom Jesus, 928 - Juvevê, Curitiba - PR;170;2;3;2;R$ 1.364.157;;https://www.vivareal.com.br//imoveis-lancamento/residencial-solenne-2641833661/
Apartamento com 2 Quartos à Venda, 67m²;Rua Lourival Schilipak, 67 - Guabirotuba, Curitiba - PR;67;2;2;1;R$ 458.000;R$ 385;https://www.vivareal.com.br//imovel/apartamento-2-quartos-guabirotuba-bairros-curitiba-com-garagem-67m2-venda-RS458000-id-2646690882/
Apartamento com 3 Quartos à Venda, 68m²;Rua João Nogarolli, 561 - Fanny, Curitiba - PR;68;3;1;1;R$ 250.000;R$ 440;https://www.vivareal.com.br//imovel/apartamento-3-quartos-fanny-bairros-curitiba-com-garagem-68m2-venda-RS250000-id-2646693686/
Apartamento com 3 Quartos à Venda, 100m²;Rua Monsenhor Ivo Zanlorenzi, 1759 - Mossunguê, Curitiba - PR;100;3;3;2;R$ 720.000;R$ 1.000;https://www.vivareal.com.br//imovel/apartamento-3-quartos-mossungue-bairros-curitiba-com-garagem-100m2-venda-RS720000-id-2646724361/
Apartamento com 3 Quartos à Venda, 71m²;Rua Guilherme Pugsley, 1835 - Vila Izabel, Curitiba - PR;71;3;2;1;R$ 395.000;R$ 650;https://www.vivareal.com.br//imovel/apartamento-3-quartos-vila-izabel-bairros-curitiba-com-garagem-71m2-venda-RS395000-id-2646700966/
Apartamento com 2 Quartos à Venda, 47m²;Boa Vista, Curitiba - PR;47;2;1;1;R$ 200.000;R$ 344;https://www.vivareal.com.br//imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-47m2-venda-RS200000-id-2646724869/
Apartamento com  Quarto à Venda, 34m²;Rua Desembargador Ermelino de Leão, 181 - Centro, Curitiba - PR;34;1;1;--;R$ 260.000;R$ 1;https://www.vivareal.com.br//imovel/apartamento-1-quartos-centro-bairros-curitiba-34m2-venda-RS260000-id-2646350156/
One Life;Avenida República Argentina, 2195 - Vila Izabel, Curitiba - PR;16-30;1;1;--;A partir de     R$ 210.000;;https://www.vivareal.com.br//imoveis-lancamento/one-life-2635598971/
Apartamento com 2 Quartos à Venda, 71m²;Rua Governador Agamenon Magalhães, 239 - Cristo Rei, Curitiba - PR;71;2;2;1;R$ 650.000;;https://www.vivareal.com.br//imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-71m2-venda-RS650000-id-2646644513/
Apartamento com 2 Quartos à Venda, 55m²;Rua Lothario Boutin, 17906 - Pinheirinho, Curitiba - PR;55;2;1;--;R$ 205.000;R$ 350;https://www.vivareal.com.br//imovel/apartamento-2-quartos-pinheirinho-bairros-curitiba-55m2-venda-RS205000-id-2646525227/
Apartamento com 2 Quartos à Venda, 59m²;Rua Nicolau Salomão, 430 - Tingui, Curitiba - PR;59;2;1;1;R$ 476.973;;https://www.vivareal.com.br//imovel/apartamento-2-quartos-tingui-bairros-curitiba-com-garagem-59m2-venda-RS476973-id-2646483568/
Apartamento com 3 Quartos à Venda, 70m²;Rua Canadá, 225 - Bacacheri, Curitiba - PR;70;3;2;1;R$ 485.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-70m2-venda-RS485000-id-2646361118/
Apartamento com  Quarto à Venda, 31m²;Rua Caetano Marchesini, 281 - Portão, Curitiba - PR;31;1;1;--;R$ 315.000;R$ 340;https://www.vivareal.com.br//imovel/apartamento-1-quartos-portao-bairros-curitiba-31m2-venda-RS315000-id-2646321410/
Apartamento com 2 Quartos à Venda, 59m²;Boa Vista, Curitiba - PR;59;2;1;2;R$ 380.000;R$ 654;https://www.vivareal.com.br//imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-59m2-venda-RS380000-id-2646378659/
BISPO - Garden;Rua Bispo Dom José, 2859 - Batel, Curitiba - PR;121-130;3;4;2;R$ 1.731.900;;https://www.vivareal.com.br//imoveis-lancamento/bispo-garden-2623248975/
Apartamento com 2 Quartos à Venda, 51m²;Avenida José Gulin, 373 - Bacacheri, Curitiba - PR;51;2;2;1;R$ 422.990;R$ 380;https://www.vivareal.com.br//imovel/apartamento-2-quartos-bacacheri-bairros-curitiba-com-garagem-51m2-venda-RS422990-id-2646335906/
Apartamento com 2 Quartos à Venda, 48m²;Rua São Bento, 2023 - Hauer, Curitiba - PR;48;2;1;1;R$ 285.000;R$ 480;https://www.vivareal.com.br//imovel/apartamento-2-quartos-hauer-bairros-curitiba-com-garagem-48m2-venda-RS285000-id-2646689979/
Apartamento com 2 Quartos à Venda, 56m²;Rua Tobias de Macedo Júnior, 1138 - Santo Inácio, Curitiba - PR;56;2;2;1;R$ 490.000;R$ 533;https://www.vivareal.com.br//imovel/apartamento-2-quartos-santo-inacio-bairros-curitiba-com-garagem-56m2-venda-RS490000-id-2646479608/
Apartamento com 2 Quartos à Venda, 51m²;Rua Oscar Gomes de Oliveira, 1080 - Santa Cândida, Curitiba - PR;51;2;1;1;R$ 352.100;R$ 1;https://www.vivareal.com.br//imovel/apartamento-2-quartos-santa-candida-bairros-curitiba-com-garagem-51m2-venda-RS352100-id-2646694968/
Apartamento com 3 Quartos à Venda, 78m²;Rua José Clementino Bettega, 120 - Capão Raso, Curitiba - PR;78;3;2;2;R$ 599.900;R$ 600;https://www.vivareal.com.br//imovel/apartamento-3-quartos-capao-raso-bairros-curitiba-com-garagem-78m2-venda-RS599900-id-2646639211/
Apartamento com 2 Quartos à Venda, 52m²;Avenida Marechal Mascarenhas de Moraes, 995 - Atuba, Curitiba - PR;52;2;2;1;R$ 280.000;R$ 1;https://www.vivareal.com.br//imovel/apartamento-2-quartos-atuba-bairros-curitiba-com-garagem-52m2-venda-RS280000-id-2646417303/
Apartamento com 3 Quartos à Venda, 77m²;Rua Álvaro Andrade, 225 - Portão, Curitiba - PR;77;3;2;2;R$ 740.000;R$ 700;https://www.vivareal.com.br//imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-77m2-venda-RS740000-id-2646508128/
Apartamento com 2 Quartos à Venda, 48m²;Rua Padre Rafael José Kalinowski, 648 - Pinheirinho, Curitiba - PR;48;2;1;1;R$ 225.000;R$ 321;https://www.vivareal.com.br//imovel/apartamento-2-quartos-pinheirinho-bairros-curitiba-com-garagem-48m2-venda-RS225000-id-2634233530/
Apartamento com 3 Quartos à Venda, 103m²;Rua Dias da Rocha Filho, 234 - Alto da Rua XV, Curitiba - PR;103;3;3;2;R$ 599.000;R$ 940;https://www.vivareal.com.br//imovel/apartamento-3-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-103m2-venda-RS599000-id-2646674776/
Apartamento com  Quarto à Venda, 43m²;Rua Marechal Deodoro, 1014 - Centro, Curitiba - PR;43;1;1;--;R$ 225.000;R$ 460;https://www.vivareal.com.br//imovel/apartamento-1-quartos-centro-bairros-curitiba-43m2-venda-RS225000-id-2646634882/
Apartamento com 2 Quartos à Venda, 53m²;Rua Trinta e Um de Março, 3011 - Pinheirinho, Curitiba - PR;53;2;1;1;R$ 188.000;R$ 450;https://www.vivareal.com.br//imovel/apartamento-2-quartos-pinheirinho-bairros-curitiba-com-garagem-53m2-venda-RS188000-id-2643698171/
Apartamento com 2 Quartos à Venda, 43m²;Avenida Anita Garibaldi, 1201 - Ahú, Curitiba - PR;43;2;1;1;R$ 270.000;R$ 341;https://www.vivareal.com.br//imovel/apartamento-2-quartos-ahu-bairros-curitiba-com-garagem-43m2-venda-RS270000-id-2646701741/
Apartamento com 2 Quartos à Venda, 54m²;Rua Theóphilo Mansur, 920 - Novo Mundo, Curitiba - PR;54;2;2;1;R$ 331.000;R$ 250;https://www.vivareal.com.br//imovel/apartamento-2-quartos-novo-mundo-bairros-curitiba-com-garagem-54m2-venda-RS331000-id-2646454790/
Apartamento com 2 Quartos à Venda, 68m²;Rua José Zaleski, 124 - Capão Raso, Curitiba - PR;68;2;2;1;R$ 460.856;;https://www.vivareal.com.br//imovel/apartamento-2-quartos-capao-raso-bairros-curitiba-com-garagem-68m2-venda-RS460856-id-2646626929/
Apartamento com 3 Quartos à Venda, 133m²;Rua Paulo Setúbal, 5237 - Hauer, Curitiba - PR;133;3;2;2;R$ 560.000;R$ 300;https://www.vivareal.com.br//imovel/apartamento-3-quartos-hauer-bairros-curitiba-com-garagem-133m2-venda-RS560000-id-2646703867/
Apartamento com 3 Quartos à Venda, 94m²;Rua Costa Rica, 365 - Bacacheri, Curitiba - PR;94;3;2;2;R$ 1.170.000;R$ 570;https://www.vivareal.com.br//imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-94m2-venda-RS1170000-id-2646482828/
Apartamento com 2 Quartos à Venda, 52m²;Rua Itacolomi, 586 - Portão, Curitiba - PR;52;2;2;1;R$ 345.000;R$ 470;https://www.vivareal.com.br//imovel/apartamento-2-quartos-portao-bairros-curitiba-com-garagem-52m2-venda-RS345000-id-2646497109/
Apartamento com 3 Quartos à Venda, 76m²;Rua Parnaíba, 280 - São Francisco, Curitiba - PR;76;3;1;1;R$ 310.000;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-sao-francisco-bairros-curitiba-com-garagem-76m2-venda-RS310000-id-2646555262/
Apartamento com 3 Quartos à Venda, 77m²;Rua José Zaleski, 124 - Capão Raso, Curitiba - PR;77;3;2;1;R$ 499.739;;https://www.vivareal.com.br//imovel/apartamento-3-quartos-capao-raso-bairros-curitiba-com-garagem-77m2-venda-RS499739-id-2646629586/
Apartamento com 2 Quartos à Venda, 62m²;Rua Brasílio Itiberê, 58 - Jardim Botânico, Curitiba - PR;62;2;2;1;R$ 475.000;R$ 610;https://www.vivareal.com.br//imovel/apartamento-2-quartos-jardim-botanico-bairros-curitiba-com-garagem-62m2-venda-RS475000-id-2646689273/
Apartamento com  Quarto à Venda, 34m²;Rua Coronel Herculano de Araújo, 197 - Novo Mundo, Curitiba - PR;34;1;1;1;R$ 225.000;R$ 350;https://www.vivareal.com.br//imovel/apartamento-1-quartos-novo-mundo-bairros-curitiba-com-garagem-34m2-venda-RS225000-id-2646718805/
Terrasse Poésie;Rua Abílio Peixoto, 252 - Cabral, Curitiba - PR;75-79;3;2;2;R$ 705.000;;https://www.vivareal.com.br//imoveis-lancamento/terrasse-poesie-2094685475/
Apartamento com 2 Quartos à Venda, 67m²;Rua Lourival Schilipak, 67 - Guabirotuba, Curitiba - PR;67;2;2;1;R$ 458.000;R$ 385;https://www.vivareal.com.br//imovel/apartamento-2-quartos-guabirotuba-bairros-curitiba-com-garagem-67m2-venda-RS458000-id-2646690882/
